,VFID,strain,VF_Name,cate,pro_Name
VFG044327(gb|WP_000140406),VF0564,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ybt,Nutritional/Metabolic factor,ybtA
VFG044328(gb|WP_015874963),VF0564,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ybt,Nutritional/Metabolic factor,irp2
VFG044329(gb|WP_015874964),VF0564,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ybt,Nutritional/Metabolic factor,irp1
VFG044330(gb|WP_032447695),VF0564,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ybt,Nutritional/Metabolic factor,ybtU
VFG044331(gb|WP_015874966),VF0564,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ybt,Nutritional/Metabolic factor,ybtT
VFG044332(gb|WP_015874967),VF0564,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ybt,Nutritional/Metabolic factor,ybtE
VFG044333(gb|WP_015874968),VF0564,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ybt,Nutritional/Metabolic factor,fyuA
VFG044334(gb|WP_015874979),VF0563,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Sal,Nutritional/Metabolic factor,iroN
VFG044335(gb|WP_015874980),VF0563,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Sal,Nutritional/Metabolic factor,iroB
VFG044336(gb|WP_050767835),VF0563,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Sal,Nutritional/Metabolic factor,iroC
VFG044337(gb|WP_015874982),VF0563,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Sal,Nutritional/Metabolic factor,iroD
VFG048229(gb|WP_015875142),VF0566,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type I fimbriae,Adherence,fimB
VFG048237(gb|WP_002916189),VF0566,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type I fimbriae,Adherence,fimE
VFG048247(gb|WP_002916190),VF0566,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type I fimbriae,Adherence,fimA
VFG048257(gb|WP_004174507),VF0566,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type I fimbriae,Adherence,fimI
VFG048267(gb|WP_015875145),VF0566,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type I fimbriae,Adherence,fimC
VFG048277(gb|WP_009308599),VF0566,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type I fimbriae,Adherence,fimD
VFG048287(gb|WP_014906962),VF0566,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type I fimbriae,Adherence,fimF
VFG048297(gb|WP_014906961),VF0566,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type I fimbriae,Adherence,fimG
VFG048307(gb|WP_041937815),VF0566,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type I fimbriae,Adherence,fimH
VFG048317(gb|WP_014906959),VF0566,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type I fimbriae,Adherence,fimK
VFG048327(gb|WP_004152886),VF0567,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type 3 fimbriae,Biofilm,mrkH
VFG048338(gb|WP_002916079),VF0567,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type 3 fimbriae,Biofilm,mrkI
VFG048348(gb|WP_004149658),VF0567,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Type 3 fimbriae,Biofilm,mrkJ
VFG048409(gb|WP_086074289),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,entA
VFG048419(gb|WP_004210873),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,entB
VFG048429(gb|WP_004183353),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,entE
VFG048439(gb|WP_014907941),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,entC
VFG048449(gb|WP_012737621),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,fepB
VFG048459(gb|WP_004147525),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,entS
VFG048468(gb|WP_004176917),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,fepD
VFG048478(gb|WP_004147521),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,fepG
VFG048488(gb|WP_002893737),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,fepC
VFG048498(gb|WP_012737619),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,entF
VFG048508(gb|WP_012737618),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,fes
VFG048518(gb|WP_012737617),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,fepA
VFG048528(gb|WP_004183335),VF0562,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Ent,Nutritional/Metabolic factor,entD
VFG048547(gb|WP_004213617),VF0563,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Sal,Nutritional/Metabolic factor,iroN
VFG048550(gb|WP_004213623),VF0563,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Sal,Nutritional/Metabolic factor,iroB
VFG048551(gb|WP_011251260),VF0563,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Sal,Nutritional/Metabolic factor,iroC
VFG048554(gb|WP_004902400),VF0563,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Sal,Nutritional/Metabolic factor,iroD
VFG048600(gb|WP_004213920),VF0565,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Aerobactin,Nutritional/Metabolic factor,iucA
VFG048603(gb|WP_004213921),VF0565,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Aerobactin,Nutritional/Metabolic factor,iucB
VFG048606(gb|WP_004213922),VF0565,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Aerobactin,Nutritional/Metabolic factor,iucC
VFG048609(gb|WP_004213923),VF0565,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Aerobactin,Nutritional/Metabolic factor,iucD
VFG048620(gb|WP_014907843),VF0565,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Aerobactin,Nutritional/Metabolic factor,iutA
VFG048621(gb|WP_004213924),VF0565,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Aerobactin,Nutritional/Metabolic factor,iutA
VFG048632(gb|WP_004176434),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,vipA/tssB
VFG048643(gb|WP_014907727),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,vipB/tssC
VFG048654(gb|WP_004224345),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,vasE/tssK
VFG048665(gb|WP_004176431),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,dotU/tssL
VFG048676(gb|WP_014907726),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,ompA
VFG048687(gb|WP_002902160),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,hcp/tssD
VFG048697(gb|WP_015874721),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,clpV/tssH
VFG048708(gb|WP_041168969),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,vgrG/tssI
VFG048755(gb|WP_049127998),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,icmF/tssM
VFG048762(gb|WP_015874732),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,impA/tssA
VFG048771(gb|WP_004190505),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,tssF
VFG048779(gb|WP_004190503),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,tssG
VFG048787(gb|WP_004176417),VF0569,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,T6SS,Effector delivery system,sciN/tssJ
VFG048797(gb|WP_004175261),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,ugd
VFG048808(gb|WP_004899416),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,rfbK1
VFG048819(gb|WP_014907234),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS17280
VFG048830(gb|WP_014907233),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,gndA
VFG048841(gb|WP_014907232),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,wcaJ
VFG048852(gb|WP_015875022),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS17295
VFG048863(gb|WP_014907229),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS17300
VFG048874(gb|WP_041937789),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS17305
VFG048885(gb|WP_014907227),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,gmd
VFG048896(gb|WP_015875024),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS29180
VFG048907(gb|WP_014907226),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS17315
VFG048918(gb|WP_015875025),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS17320
VFG048929(gb|WP_015875026),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS17325
VFG048940(gb|WP_124743276),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS28055
VFG048951(gb|WP_015875028),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS17330
VFG048962(gb|WP_015875029),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS17335
VFG048972(gb|WP_014907221),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS17340
VFG048980(gb|WP_041937790),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS17345
VFG048985(gb|WP_014907219),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,KP1_RS17355
VFG048990(gb|WP_001741945),VF0560,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Capsule,Immune modulation,galF
VFG048995(gb|WP_015874986),VF0570,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,RmpA,Regulation,rmpA
VFG048996(gb|WP_004213609),VF0570,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,RmpA,Regulation,rmpA
VFG048998(gb|WP_011154608),VF0570,Klebsiella pneumoniae CG43,RmpA,Regulation,rmpA2
VFG049007(gb|WP_002911561),VF0571,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,RcsAB,Regulation,rcsA
VFG049018(gb|WP_002913007),VF0571,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,RcsAB,Regulation,rcsB
VFG049029(gb|WP_014907241),VF0561,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,LPS,Immune modulation,KP1_RS17220
VFG049040(gb|WP_074160401),VF0561,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,LPS,Immune modulation,KP1_RS17225
VFG049051(gb|WP_014907239),VF0561,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,LPS,Immune modulation,KP1_RS17230
VFG049062(gb|WP_015875020),VF0561,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,LPS,Immune modulation,rfbD
VFG049073(gb|WP_015875021),VF0561,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,LPS,Immune modulation,KP1_RS17240
VFG049084(gb|WP_004175264),VF0561,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,LPS,Immune modulation,rfbB
VFG049095(gb|WP_002912373),VF0561,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,LPS,Immune modulation,rfbA
VFG049114(gb|WP_012737527),VF0572,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Allantion utilization,Nutritional/Metabolic factor,allS
VFG049116(gb|WP_012737528),VF0572,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Allantion utilization,Nutritional/Metabolic factor,allA
VFG049118(gb|WP_012737529),VF0572,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Allantion utilization,Nutritional/Metabolic factor,allR
VFG049120(gb|WP_012737535),VF0572,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Allantion utilization,Nutritional/Metabolic factor,allB
VFG049122(gb|WP_012737539),VF0572,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Allantion utilization,Nutritional/Metabolic factor,allC
VFG049124(gb|WP_012737540),VF0572,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,Allantion utilization,Nutritional/Metabolic factor,allD
VFG049133(gb|WP_004177236),VF0568,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,AcrAB,Antimicrobial activity/Competitive advantage,acrA
VFG049144(gb|WP_002892069),VF0568,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,AcrAB,Antimicrobial activity/Competitive advantage,acrB
VFG049147(gb|WP_001217110),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbA
VFG049148(gb|WP_041168941),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbB
VFG049149(gb|WP_041169023),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbC
VFG049150(gb|WP_000982270),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbD
VFG049151(gb|WP_001297917),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbE
VFG049152(gb|WP_000337350),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbF
VFG049153(gb|WP_000159201),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbG
VFG049154(gb|WP_014907257),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbH
VFG049155(gb|WP_000829570),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbI
VFG049156(gb|WP_077265119),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbJ
VFG049157(gb|WP_014907259),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbK
VFG049158(gb|WP_001297937),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbL
VFG049159(gb|WP_014907260),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbM
VFG049160(gb|WP_001327259),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbN
VFG049161(gb|WP_001029878),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbO
VFG049162(gb|WP_002430641),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbP
VFG049163(gb|WP_000065646),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbQ
VFG049164(gb|WP_004175305),VF0573,Klebsiella pneumoniae subsp. pneumoniae 1084,Colibactin,Exotoxin,clbS
VFG001830(gb|WP_010946190),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmT
VFG001831(gb|WP_010946191),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmS
VFG001832(gb|WP_010946192),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmR
VFG001833(gb|WP_011214698),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmQ
VFG001834(gb|WP_011214699),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmP/dotM
VFG001835(gb|WP_010946195),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmO/dotL
VFG001836(gb|WP_010946197),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmM/dotJ
VFG001837(gb|WP_010946198),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmL/dotI
VFG001838(gb|WP_015444826),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmK/dotH
VFG001839(gb|WP_010946200),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmE/dotG
VFG001840(gb|WP_010946201),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmG/dotF
VFG001841(gb|WP_010946202),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmC/dotE
VFG001842(gb|WP_011214707),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmD/dotP
VFG001843(gb|WP_011214708),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmJ/dotN
VFG001844(gb|WP_010946205),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmB/dotO
VFG001845(gb|WP_010946207),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmF
VFG001846(gb|WP_010946208),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmH/dotU
VFG001847(gb|WP_010948374),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,dotD
VFG001848(gb|WP_010948375),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,dotC
VFG001849(gb|WP_011216546),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,dotB
VFG001850(gb|WP_010948386),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,dotA
VFG001851(gb|WP_010948387),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmV
VFG001852(gb|WP_010948388),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmW
VFG001853(gb|WP_010948389),VF0156,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Dot/Icm,Effector delivery system,icmX
VFG001854(gb|WP_010947070),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,fliC
VFG001855(gb|WP_197535493),VF0159,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Hsp60,Adherence,htpB
VFG001856(gb|WP_010946594),VF0292,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,CcmC,Nutritional/Metabolic factor,ccmC
VFG001857(gb|WP_010946483),VF0293,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,IraAB,Nutritional/Metabolic factor,iraB
VFG001858(gb|WP_010948358),VF0160,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,FeoAB,Nutritional/Metabolic factor,feoA
VFG001859(gb|WP_010948357),VF0160,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,FeoAB,Nutritional/Metabolic factor,feoB
VFG001860(gb|WP_010948487),VF0290,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,FrgA,Nutritional/Metabolic factor,frgA
VFG001861(gb|WP_010945955),VF0168,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,KatAB,Stress survival,katA
VFG001862(gb|WP_015444101),VF0168,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,KatAB,Stress survival,katB
VFG001863(gb|WP_010946430),VF0165,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,LigA,Effector delivery system,ligA
VFG001864(gb|WP_011213317),VF0153,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Mip,Post-translational modification,mip
VFG001865(gb|WP_010946354),VF0161,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,MOMP,Adherence,LPG_RS03055
VFG001866(gb|WP_015444568),VF0166,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,RpoS,Regulation,rpoS
VFG001867(gb|WP_016357051),VF0169,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,SodB,Stress survival,sodB
VFG001868(gb|WP_010948054),VF0170,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,SodC,Stress survival,sodC
VFG001870(gb|WP_010947093),VF0154,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Lsp T2SS,Effector delivery system,lspF
VFG001871(gb|WP_010947092),VF0154,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Lsp T2SS,Effector delivery system,lspG
VFG001872(gb|WP_025862367),VF0154,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Lsp T2SS,Effector delivery system,lspH
VFG001873(gb|WP_010947090),VF0154,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Lsp T2SS,Effector delivery system,lspI
VFG001874(gb|WP_010947089),VF0154,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Lsp T2SS,Effector delivery system,lspJ
VFG001875(gb|WP_010947088),VF0154,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Lsp T2SS,Effector delivery system,lspK
VFG001876(gb|WP_010947050),VF0154,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Lsp T2SS,Effector delivery system,lspE
VFG001877(gb|WP_010947051),VF0154,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Lsp T2SS,Effector delivery system,lspD
VFG001878(gb|WP_010947594),VF0154,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Lsp T2SS,Effector delivery system,lspL
VFG001879(gb|WP_010947595),VF0154,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Lsp T2SS,Effector delivery system,lspM
VFG001880(gb|WP_010947251),VF0155,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Type IV pili,Adherence,pilB
VFG001881(gb|WP_010947252),VF0155,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Type IV pili,Adherence,pilC
VFG001882(gb|WP_015444491),VF0155,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Type IV pili,Adherence,pilD
VFG001883(gb|WP_010948339),VF0163,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Enh loci,Others,enhC
VFG001884(gb|WP_010948340),VF0163,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Enh loci,Others,enhB
VFG001885(gb|WP_010948341),VF0163,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Enh loci,Others,enhA
VFG001887(gb|WP_010947186),VF0260,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,RelA,Regulation,relA
VFG001888(gb|WP_010947629),VF0262,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,LetA/S,Regulation,letS
VFG001889(gb|WP_011216518),VF0262,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,LetA/S,Regulation,letA
VFG001990(gb|WP_010946643),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flgA
VFG001991(gb|WP_010946948),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flgB
VFG001992(gb|WP_010946949),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flgC
VFG001993(gb|WP_010946950),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flgD
VFG001994(gb|WP_010946951),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flgE
VFG001995(gb|WP_010946952),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flgF
VFG001996(gb|WP_010946953),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flgG
VFG001997(gb|WP_010946954),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flgH
VFG001998(gb|WP_015444576),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flgI
VFG001999(gb|WP_010946957),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flgK
VFG002000(gb|WP_010946958),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flgL
VFG002001(gb|WP_010947067),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,fliS
VFG002002(gb|WP_010947068),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,fliD
VFG002003(gb|WP_010947482),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,fliJ
VFG002004(gb|WP_010947484),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,fliH
VFG002005(gb|WP_010947485),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,fliG
VFG002006(gb|WP_010947486),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,fliF
VFG002007(gb|WP_010947487),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,fliE
VFG002008(gb|WP_010947506),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,motB
VFG002009(gb|WP_010947507),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,motC
VFG002011(gb|WP_011946725),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flhF
VFG002012(gb|WP_010947511),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flhA
VFG002013(gb|WP_011946726),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,flhB
VFG002014(gb|WP_010947513),VF0157,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Flagella,Motility,fliR
